,Unnamed: 0,id,status,output,expected_output,error,code,difficulty
460,16,416,wrong_output,"932570624
",898082747,,"
def f(m, n):
    if n == 1:
        return 1
    if m == 1:
        return 3 ** (n - 1)
    return (f(m - 1, n - 1) + 2 * f(m - 1, n) + f(m - 1, n + 1)) % 10 ** 9

print(f(10, 1012))
",85
461,17,417,timeout_error,,446572970925740,TIMEOUT,"
def L(n):
    if n % 2 == 0 or n % 5 == 0:
        return 0
    r = 1
    while (r * 10) % n != 1:
        r *= 10
    return r

print(sum(L(n) for n in range(3, 100000001)))
",35
462,18,418,runtime_error,,1177163565297340320,"Traceback (most recent call last):
  File ""/tmp/tmpkej9b8uu/tmp.py"", line 9, in <module>
    print(f(factorial(43)))
  File ""/tmp/tmpkej9b8uu/tmp.py"", line 6, in f
    return min(combinations_with_replacement(range(1, int(n**0.5) + 1), 3),
OverflowError: Python int too large to convert to C ssize_t
","
from math import factorial
from itertools import combinations_with_replacement

def f(n):
    return min(combinations_with_replacement(range(1, int(n**0.5) + 1), 3),
               key=lambda x: x[2]/x[0])[0] + x[1] + x[2]

print(f(factorial(43)))
",40
463,19,419,runtime_error,,"998567458,1046245404,43363922","Traceback (most recent call last):
  File ""/tmp/tmp2w9muqmh/tmp.py"", line 14, in <module>
    print(*count_digits(1012), sep="","")
  File ""/tmp/tmp2w9muqmh/tmp.py"", line 10, in count_digits
    s = look_and_say(n)
  File ""/tmp/tmp2w9muqmh/tmp.py"", line 5, in look_and_say
    s = """".join(str(len(list(group))) + key for key, group in itertools.groupby(s))
NameError: name 'itertools' is not defined
","
def look_and_say(n):
    s = ""1""
    for _ in range(n - 1):
        s = """".join(str(len(list(group))) + key for key, group in itertools.groupby(s))
    return s


def count_digits(n):
    s = look_and_say(n)
    return [s.count(str(i)) for i in range(1, 4)]


print(*count_digits(1012), sep="","")
",50
464,20,420,runtime_error,,145159332,"  File ""/tmp/tmphi9aicgg/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def F(n):
    if n < 2:
        return 0
    if n < 4:
        return 1
    if n < 16:
        return 2
    if n < 36:
        return 3
    if n < 64:
        return 4
    if n < 100:
        return 5
    if n < 144:
        return 6
    if n < 196:
        return 7
    if n < 256:
        return 8
    if n < 324:
        return 9
    if n < 400:
        return 10
    if n < 484:
        return 11
    if n < 576:
        return 12
    if n < 676:
        return 13
    if n < 784:
        return 14
    if n < 900:
        return 15
    if n < 102",60
465,21,421,timeout_error,,2304215802083466198,TIMEOUT,"
from collections import defaultdict

def prime_factors(n):
    i = 2
    factors = defaultdict(int)
    while i * i <= n:
        while n % i == 0:
            factors[i] += 1
            n //= i
        i += 1
    if n > 1:
        factors[n] += 1
    return factors

def s(n, m):
    factors = prime_factors(n**15 + 1)
    return sum(k for k, v in factors.items() if k <= m)

print(sum(s(n, 10**8) for n in range(1, 10**11 + 1)))
",50
466,22,422,runtime_error,,92060460,"  File ""/tmp/tmpv75_zy2f/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from fractions import Fraction
from functools import reduce
from operator import add

def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def lcm(a, b):
    return a * b // gcd(a, b)

def hyperbola(n):
    if n == 1:
        return Fraction(13, 4), Fraction(61, 4)
    elif n == 2:
        return Fraction(-43, 6), Fraction(-4, 1)
    elif n == 3:
        return Fraction(-19, 2), Fraction(-229, 24)
    elif n == 4:
        return Fraction(1267, 144), Fraction(-37, 12)
    elif n == 7:
        return Fraction(17194218091, 143327232), Fraction(274748766781, 1719926784)
    else:
        ",75
467,23,423,runtime_error,,653972374,"Traceback (most recent call last):
  File ""/tmp/tmpr18dikeu/tmp.py"", line 3, in <module>
    from sympy import primepi
ModuleNotFoundError: No module named 'sympy'
","
from math import log
from sympy import primepi

def C(n):
    return 6 ** n - 6 * (n - primepi(n))

def S(L):
    return sum(C(n) for n in range(1, L + 1))

print(S(50000000) % 1000000007)
",45
468,24,425,runtime_error,,46479497324,"  File ""/tmp/tmpcpod6f79/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import math
from collections import defaultdict

def is_prime(n):
    if n < 2:
        return False
    if n % 2 == 0:
        return n == 2
    if n % 3 == 0:
        return n == 3
    d = 5
    while d * d <= n:
        if n % d == 0:
            return False
        d += 2
        if n % d == 0:
            return False
        d += 4
    return True

def is_connected(a, b):
    if len(str(a)) != len(str(b)):
        return False
    a_str = str(a)
    b_str = str(b)
    diff_count = 0
    for i in range(len(a_str)):
        if a_str[i] != b_str[i]:
            diff_count += 1
    return diff_count == 1 or (a_str[0] != b_str[0] and is_prime(int(b_str + a",25
469,25,426,runtime_error,,31591886008,"  File ""/tmp/tmpgr9vd2pd/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def box_ball_system(n):
    # Initialize the system with the first n terms of the sequence {ti}
    system = [290797]
    for i in range(1, n):
        system.append((system[i-1]**2) % 50515093)

    # Iterate through the system until it reaches a stable state
    while True:
        # Check if the system has reached a stable state
        if system == sorted(system):
            break

        # Move each ball exactly once according to the rule
        for i in range(len(system)):
            if system[i] > 1:
                # Find the nearest empty box to the right of the ball
                j = i + 1
                while j < len(system) and system[j] > 0:
                    j += 1

                # Transfer the ball to the empty box
                system[i] -= 1
                system[j] += 1

    # Calculate the sum of the squares of the elements of the final state
    return sum(x**2 for x in system)",75
470,26,427,wrong_output,"697397860
",97138867,,"
def f(n):
    mod = 1000000009
    dp = [0] * (n + 1)
    dp[1] = 1
    for i in range(2, n + 1):
        dp[i] = (dp[i - 1] * i + dp[i - 2]) % mod
    return dp[n]

print(f(7500000) % 1000000009)
",95
471,27,428,runtime_error,,747215561862,"  File ""/tmp/tmp9ht75sm8/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def necklace_triplets(n):
    """"""
    Returns the number of necklace triplets (a, b, c) such that a, b and c are positive integers, and b <= n.
    """"""
    # Initialize the table
    t = [0] * (n + 1)
    t[1] = 1

    # Iterate over all possible values of b
    for b in range(2, n + 1):
        # Iterate over all possible values of c
        for c in range(b, n + 1):
            # Check if (b, c) is a necklace triplet
            if is_necklace_triplet(b, c):
                # Increment the count of necklace triplets
                t[b] += 1

    # Return the count of necklace triplets
    return t[n]


def is_necklace_triplet(b, c):
    """"""
    Returns True if (b, c) is a necklace triplet, False otherwise.
    """"""
    # Check if b and c are relatively prime
    if gcd(b, c) != 1:
        return False

    ",90
472,28,429,runtime_error,,98792821,"  File ""/tmp/tmpies60k17/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from math import sqrt
from functools import reduce

def sum_of_squares_of_unitary_divisors(n):
    """"""
    Returns the sum of the squares of the unitary divisors of n.
    """"""
    # Find all the prime factors of n.
    prime_factors = []
    for i in range(2, int(sqrt(n)) + 1):
        while n % i == 0:
            prime_factors.append(i)
            n //= i

    # If n is not prime, then add it to the list of prime factors.
    if n > 1:
        prime_factors.append(n)

    # Find all the unitary divisors of n.
    unitary_divisors = set()
    for i in range(1, len(prime_factors) + 1):
        for combination in itertools.combinations(prime_factors, i):
            unitary_divisors.add(reduce(lambda x, y: x * y, combination))

    # Return the sum of the squares of the unitary divisors of n.
    return sum(d * d for d in",20
473,29,430,timeout_error,,5000624921.38,TIMEOUT,"
import random

def flip_disks(N, M):
    disks = [0] * N
    for _ in range(M):
        A = random.randint(1, N)
        B = random.randint(1, N)
        for i in range(A - 1, B):
            disks[i] ^= 1
    return sum(disks)

def expected_white_disks(N, M):
    trials = 100000
    white_disks = 0
    for _ in range(trials):
        white_disks += flip_disks(N, M)
    return white_disks / trials

print(round(expected_white_disks(1010, 4000), 2))
",35
474,30,431,wrong_output,"8.452992316833104
",23.386029052,,"
import math

def V(x, r, a):
    return math.pi * r**2 * (1 - math.cos(a)) - math.pi * x**2 * math.tan(a)

def main():
    r = 6
    a = 40 * math.pi / 180
    x1 = r * math.cos(a)
    x2 = r * math.sin(a)
    print(sum([x1, x2]))

if __name__ == '__main__':
    main()
",40
475,31,432,wrong_output,"536744960
",754862080,,"
from functools import lru_cache

@lru_cache(maxsize=None)
def phi(n):
    result = n
    p = 2
    while p * p <= n:
        if n % p == 0:
            while n % p == 0:
                n //= p
            result -= result // p
        p += 1
    if n > 1:
        result -= result // n
    return result

def S(n, m):
    return sum(phi(n * i) for i in range(1, m + 1))

print(S(510510, 1011) % 10**9)
",70
476,32,433,timeout_error,,326624372659664,TIMEOUT,"
def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def S(n):
    return sum(gcd(x, y) for x in range(1, n + 1) for y in range(1, n + 1))

print(S(5 * 10 ** 6))
",65
477,33,434,wrong_output,"479336684
",863253606,,"
from functools import lru_cache

@lru_cache(maxsize=None)
def R(m, n):
    if m == 1 or n == 1:
        return 1
    return (R(m - 1, n) + R(m, n - 1) + R(m - 1, n - 1) * 2) % 1000000033

def S(N):
    return sum(R(i, j) for i in range(1, N + 1) for j in range(1, N + 1)) % 1000000033

print(S(100))
",75
478,34,435,wrong_output,"5965933308645048949724886568920429122237318139701485761684483587823520036512716155277256368328058303406122548791440881042645447226600152409356591810993091478795719508333765138839064939708097363667666349599882309871053193890183180753087771256561838258406432846705504039956649359778006722721257902882378776717373869606001204190782468120329137077535138628199841083145017630926423920571165053510740543633739236832656844800800312485237383604993718218757593011043725329100290997163293296608260543910612109179897750225211987817628655446510953824127238451740024486186244640442866445619374456906174511530973398827743487051249615652269371829075849373847869031753369383412016754419412446454200424514551084672327890373918524684280715093348601731528224120849531221717634200905702791661304507167772447705326087047114276466976047553296206588495198412366103747268618408940008948611954110580285657877179364315704055056517419692038901903060273038291712225263566914778502888630108066141616801585989857726786433590012665054398923234080496917273592581573766334120051965002180392522107091042411024643030739981228268386914559666329726025343657041070500908018172874912219780536693411079061608709289973055807305847585216075248128587142763682094075366752348165722553612488864868783310430937101826234574874433091973361364330143154923203773444772456403278245814820116921550716591420568522230262417209968146877277711347912196865592630511020935473247972638079681336235123005553707627155355307664646674767573815668488652403228622547534369296994902912425208303401419443392496080418145029235693805368481404844234738680243538221348880159787933926822425374912474849993769187247276588776980603638066525283116973803904729759443107821621967996080824557884322852801438378017730509184638833107153767446332151607271772417827206955789624875473526328359838272567544152979429159001394313170495671185635563453033487063196304946933968069901091731490362943307494306587358650316831497381639825908481659503131871840691577235624807695494038090078599294208853359575205496029117418564910042999231008367924215618883625535473279456880099499837310304376424538419297086116317400948268150291973454046823844283709848744579118009445199805786530946388820917855495472889015968985306201545557841265110390
",252541322550,,"
from functools import lru_cache

@lru_cache(maxsize=None)
def fib(n):
    if n < 2:
        return n
    return fib(n - 1) + fib(n - 2)

def polyfib(n, x):
    return sum(fib(i) * x ** i for i in range(n + 1))

print(sum(polyfib(1015, i) for i in range(101)))
",30
479,35,436,wrong_output,"0.527464
",0.5276662759,,"
import random

def unfair_wager():
    s = 0
    while True:
        x = random.random()
        s += x
        if s > 1:
            break
    s = 0
    while True:
        y = random.random()
        s += y
        if s > 2:
            break
    return y > x

def main():
    n = 1000000
    count = 0
    for _ in range(n):
        if unfair_wager():
            count += 1
    print(count / n)

if __name__ == '__main__':
    main()
",55
480,36,437,runtime_error,,74204709657207,"  File ""/tmp/tmpnsq221ru/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import math
import itertools

def is_prime(n):
    if n < 2:
        return False
    if n % 2 == 0:
        return n == 2
    if n % 3 == 0:
        return n == 3
    d = 5
    while d * d <= n:
        if n % d == 0:
            return False
        d += 2
        if n % d == 0:
            return False
        d += 4
    return True

def fib_period(p):
    a, b = 0, 1
    for _ in itertools.count(1):
        a, b = b, (a + b) % p
        if a == 0 and b == 1:
            return _

def fib_primitive_root(p):
    period = fib_period(p)
    if period == 0:
        return False
    for n in range(1, period + 1):
        if pow(n, period, p) != 1:
            return False
    return True

def",35
481,37,438,timeout_error,,2046409616809,TIMEOUT,"
from itertools import product

def integer_part_of_polynomial_equation_solutions(n):
    # Generate all n-tuples of integers
    tuples = product(range(-n, n+1), repeat=n)

    # Filter out tuples that do not satisfy both conditions
    valid_tuples = [t for t in tuples if all(abs(x) == i for i, x in enumerate(t, 1))]

    # Calculate the sum of the absolute values of the integers in each tuple
    sums = [sum(abs(x) for x in t) for t in valid_tuples]

    # Return the sum of the sums
    return sum(sums)

print(integer_part_of_polynomial_equation_solutions(7))
",95
482,38,439,wrong_output,"12
",968697378,,"
def sum_of_divisors(n):
    divisors = [1]
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            divisors.append(i)
            if i != n // i:
                divisors.append(n // i)
    return sum(divisors)

def S(n):
    return sum(sum_of_divisors(i * j) for i in range(1, n + 1) for j in range(1, n + 1))

print(S(1011) % 109)
",100
483,39,440,runtime_error,,970746056,"Traceback (most recent call last):
  File ""/tmp/tmpu8b1hcd6/tmp.py"", line 16, in <module>
    print(S(2000) % 987898789)
  File ""/tmp/tmpu8b1hcd6/tmp.py"", line 14, in S
    return sum(gcd(T(c*a), T(c*b)) for a in range(1, L+1) for b in range(1, L+1) for c in range(1, L+1))
  File ""/tmp/tmpu8b1hcd6/tmp.py"", line 14, in <genexpr>
    return sum(gcd(T(c*a), T(c*b)) for a in range(1, L+1) for b in range(1, L+1) for c in range(1, L+1))
NameError: name 'gcd' is not defined
","
from functools import lru_cache

@lru_cache(maxsize=None)
def T(n):
    if n <= 2:
        return 10
    return T(n-1) + T(n-2)

@lru_cache(maxsize=None)
def S(L):
    if L == 1:
        return 0
    return sum(gcd(T(c*a), T(c*b)) for a in range(1, L+1) for b in range(1, L+1) for c in range(1, L+1))

print(S(2000) % 987898789)
",60
484,40,441,timeout_error,,5000088.8395,TIMEOUT,"
from math import gcd

def R(M):
    return sum(1/(p*q) for p in range(1, M) for q in range(p+1, M) if p+q >= M and gcd(p, q) == 1)

def S(N):
    return sum(R(i) for i in range(2, N+1))

print(round(S(10**7), 4))
",65
485,41,442,timeout_error,,1295552661530920149,TIMEOUT,"
def is_eleven_free(n):
    while n:
        if n % 11 == 0:
            return False
        n //= 10
    return True

def find_eleven_free(n):
    count = 0
    i = 1
    while count < n:
        if is_eleven_free(i):
            count += 1
        i += 1
    return i - 1

print(find_eleven_free(10**18))
",60
486,42,443,runtime_error,,2744233049300770,"Traceback (most recent call last):
  File ""/tmp/tmpbn1xxbh8/tmp.py"", line 12, in <module>
    print(g(1015))
  File ""/tmp/tmpbn1xxbh8/tmp.py"", line 10, in g
    return g(n-1) + gcd(n, g(n-1))
  File ""/tmp/tmpbn1xxbh8/tmp.py"", line 10, in g
    return g(n-1) + gcd(n, g(n-1))
  File ""/tmp/tmpbn1xxbh8/tmp.py"", line 10, in g
    return g(n-1) + gcd(n, g(n-1))
  [Previous line repeated 995 more times]
  File ""/tmp/tmpbn1xxbh8/tmp.py"", line 8, in g
    if n == 4:
RecursionError: maximum recursion depth exceeded in comparison
","
def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def g(n):
    if n == 4:
        return 13
    return g(n-1) + gcd(n, g(n-1))

print(g(1015))
",30
487,43,444,runtime_error,,1.200856722e263,"Traceback (most recent call last):
  File ""/tmp/tmpk057ppnh/tmp.py"", line 17, in <module>
    print(f'{S(20, 1014):.10e}')
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in S
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 15, in <genexpr>
    return sum(S(k - 1, p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 14, in S
    return sum(E(p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 14, in <genexpr>
    return sum(E(p) for p in range(1, N + 1))
  File ""/tmp/tmpk057ppnh/tmp.py"", line 9, in E
    return (p - 1) * (E(p - 1) + E(p - 2)) / p
  File ""/tmp/tmpk057ppnh/tmp.py"", line 9, in E
    return (p - 1) * (E(p - 1) + E(p - 2)) / p
  File ""/tmp/tmpk057ppnh/tmp.py"", line 9, in E
    return (p - 1) * (E(p - 1) + E(p - 2)) / p
  [Previous line repeated 456 more times]
RecursionError: maximum recursion depth exceeded
","
from math import factorial
from functools import lru_cache

@lru_cache(maxsize=None)
def E(p):
    if p == 1:
        return 1
    return (p - 1) * (E(p - 1) + E(p - 2)) / p

@lru_cache(maxsize=None)
def S(k, N):
    if k == 1:
        return sum(E(p) for p in range(1, N + 1))
    return sum(S(k - 1, p) for p in range(1, N + 1))

print(f'{S(20, 1014):.10e}')
",60
488,44,445,runtime_error,,659104042,"Traceback (most recent call last):
  File ""/tmp/tmpit80cend/tmp.py"", line 14, in <module>
    print(sum(R(100000 * k) for k in range(1, 200000)) % 1000000007)
  File ""/tmp/tmpit80cend/tmp.py"", line 14, in <genexpr>
    print(sum(R(100000 * k) for k in range(1, 200000)) % 1000000007)
  File ""/tmp/tmpit80cend/tmp.py"", line 12, in R
    return sum(is_retraction(a, b, n) for a in range(1, n) for b in range(n))
  File ""/tmp/tmpit80cend/tmp.py"", line 12, in <genexpr>
    return sum(is_retraction(a, b, n) for a in range(1, n) for b in range(n))
  File ""/tmp/tmpit80cend/tmp.py"", line 7, in is_retraction
    if fn(a, b, fn(a, b, x), n) != fn(a, b, x):
TypeError: fn() missing 1 required positional argument: 'n'
","
def fn(a, b, x, n):
    return (a * x + b) % n

def is_retraction(a, b, n):
    for x in range(n):
        if fn(a, b, fn(a, b, x), n) != fn(a, b, x):
            return False
    return True

def R(n):
    return sum(is_retraction(a, b, n) for a in range(1, n) for b in range(n))

print(sum(R(100000 * k) for k in range(1, 200000)) % 1000000007)
",50
489,45,446,timeout_error,,907803852,TIMEOUT,"
def fn(n, a, b, x):
    return (a * x + b) % n

def is_retraction(n, a, b):
    for x in range(n):
        if fn(n, a, b, fn(n, a, b, x)) != fn(n, a, b, x):
            return False
    return True

def R(n):
    return sum(is_retraction(n, a, b) for a in range(1, n) for b in range(n))

def F(N):
    return sum(R(n * n + 4) for n in range(1, N + 1)) % 1000000007

print(F(107))
",60
490,46,447,timeout_error,,530553372,TIMEOUT,"
def fn(n, a, b, x):
    return (a * x + b) % n

def is_retraction(n, a, b):
    for x in range(n):
        if fn(n, a, b, fn(n, a, b, x)) != fn(n, a, b, x):
            return False
    return True

def count_retractions(n):
    count = 0
    for a in range(1, n):
        for b in range(n):
            if is_retraction(n, a, b):
                count += 1
    return count

def main():
    n = 10 ** 14
    mod = 10 ** 9 + 7
    print(sum(count_retractions(i) for i in range(2, n + 1)) % mod)

if __name__ == '__main__':
    main()
",95
491,47,448,timeout_error,,106467648,TIMEOUT,"
def lcm(a, b):
    return a * b // gcd(a, b)

def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def A(n):
    return sum(lcm(n, i) for i in range(1, n + 1)) // n

def S(n):
    return sum(A(k) for k in range(1, n + 1))

print(S(99999999019) % 999999017)
",80
492,48,449,wrong_output,"125.66370614
",103.37870096,,"
import math

def chocolate_volume(a, b):
  return round(4 * math.pi * a * b * (a**2 + b**2) / 3, 8)

print(chocolate_volume(3, 1))
",40
493,49,450,runtime_error,,583333163984220940,"  File ""/tmp/tmp3mi5e_8x/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from fractions import Fraction

def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def lcm(a, b):
    return a * b // gcd(a, b)

def hypocycloid(R, r):
    C = set()
    for t in range(R * r):
        x = (R - r) * math.cos(t / r) + r * math.cos((R - r) * t / r)
        y = (R - r) * math.sin(t / r) - r * math.sin((R - r) * t / r)
        if math.sin(t / r).as_integer_ratio()[1] == 1 and math.cos(t / r).as_integer_ratio()[1] == 1:
            C.add((int(x), int(y)))
    return C

def S(R, r):
    return sum(abs(x) + abs(y) for x, y in hypocycloid(R, r))

def T(N):
    return",100
494,50,451,wrong_output,"199999970000001
",153651073760956,,"
def mul_inv(a, b):
    b0 = b
    x0, x1 = 0, 1
    if b == 1: return 1
    while a > 1:
        q = a // b
        a, b = b, a % b
        x0, x1 = x1 - q * x0, x0
    if x1 < 0: x1 += b0
    return x1

def I(n):
    return mul_inv(n-2, n-1)

print(sum(I(n) for n in range(3, 2*10**7+1)))
",30
495,51,452,wrong_output,,345558983,,"
def long_products(m, n, mod=1234567891):
    dp = [[0] * (m + 1) for _ in range(n + 1)]
    for i in range(1, m + 1):
        dp[1][i] = 1
    for i in range(2, n + 1):
        for j in range(1, m + 1):
            dp[i][j] = (dp[i - 1][j] + dp[i][j - i]) % mod
    return dp[n][m]
",45
496,52,453,runtime_error,,104354107,"  File ""/tmp/tmpm6loi6j9/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def Q(m, n):
    if m == 0 or n == 0:
        return 0
    if m == 1 or n == 1:
        return 1
    if m == 2 or n == 2:
        return 2
    if m == 3 or n == 3:
        return 6
    if m == 4 or n == 4:
        return 20
    if m == 5 or n == 5:
        return 70
    if m == 6 or n == 6:
        return 252
    if m == 7 or n == 7:
        return 924
    if m == 8 or n == 8:
        return 3432
    if m == 9 or n == 9:
        return 12870
    if m == 10 or n == 10:
        return 48620
    if m == 11 or n == 11:
        return 184756
    if m",95
497,53,454,wrong_output,"3599
",5435004633092,,"
def F(L):
    return sum(1 for x in range(1, L+1) for y in range(x, L+1) if x*y <= L)

print(F(1012))
",50
498,54,455,timeout_error,,450186511399999,TIMEOUT,"
def f(n):
    for x in range(10**9 - 1, 0, -1):
        if (x * n) % 10**9 == x:
            return x
    return 0

print(sum(f(n) for n in range(2, 10**6 + 1)))
",40
499,55,456,timeout_error,,333333208685971546,TIMEOUT,"
def C(n):
    x = [0] * n
    y = [0] * n
    for i in range(n):
        x[i] = (1248 * i) % 32323 - 16161
        y[i] = (8421 * i) % 30103 - 15051
    count = 0
    for i in range(n):
        for j in range(i + 1, n):
            for k in range(j + 1, n):
                if (x[i] * (y[j] - y[k]) + x[j] * (y[k] - y[i]) + x[k] * (y[i] - y[j])) > 0:
                    count += 1
    return count

print(C(2000000))
",55
500,56,457,runtime_error,,2647787126797397063,"Traceback (most recent call last):
  File ""/tmp/tmpq5l_itn9/tmp.py"", line 2, in <module>
    from sympy import isprime
ModuleNotFoundError: No module named 'sympy'
","
from sympy import isprime

def f(n):
    return n**2 - 3*n - 1

def R(p):
    for n in range(1, p**2):
        if f(n) % (p**2) == 0:
            return n
    return 0

def SR(L):
    return sum(R(p) for p in range(2, L+1) if isprime(p))

print(SR(10**7))
",35
